Population mondiale	 S 	 I 	 R 	 t 
416116.0	416115.98201	0.0166634731171	0.00132667583314	0

416116.0	416115.968944	0.0275247832485	0.00353136047646	1

416116.0	416115.94743	0.0453980632972	0.00717180779259	2

416116.0	416115.911716	0.0750965136757	0.0131877314591	3

416116.0	416115.851791	0.12502907202	0.0231800459185	4

416116.0	416115.749828	0.210249660656	0.0399223148563	5

416116.0	416115.573178	0.358496643048	0.0683249020257	6

416116.0	416115.260083	0.622601342537	0.117315537067	7

416116.0	416114.689455	1.10690223804	0.203643191353	8

416116.0	416113.614813	2.02532973453	0.359856892789	9

416116.0	416111.515585	3.8327920666	0.651622680162	10

416116.0	416107.254133	7.52940412546	1.21646333263	11

416116.0	416098.269176	15.3781606126	2.35266305343	12

416116.0	416078.650558	32.6219180231	4.72752394764	13

416116.0	416034.495943	71.6311811992	9.87287531789	14

416116.0	415932.65275	161.970525351	21.3767246502	15

416116.0	415693.49074	374.746454546	47.7628055181	16

416116.0	415126.257604	880.326873341	109.415522696	17

416116.0	413784.094433	2077.0801057	254.825461293	18

416116.0	410687.63936	4832.32502574	596.035613917	19

416116.0	404025.454946	10718.3373224	1372.20773149	20

416116.0	391592.436236	21512.4533262	3011.11043815	21

416116.0	372849.916396	37204.4373041	6061.64629965	22

416116.0	349897.764901	55277.3823868	10940.8527119	23

416116.0	324483.214112	73826.0982905	17806.6875976	24

416116.0	296369.498981	93024.4887263	26722.0122922	25

416116.0	265354.596987	112991.05092	37770.3520924	26

416116.0	232779.431449	132374.108279	50962.4602721	27

416116.0	200943.624294	149061.288219	66111.0874865	28

416116.0	171773.116228	161517.097304	82825.7864684	29

416116.0	146180.601028	169323.662761	100611.736211	30

416116.0	124248.372	172889.838601	118977.789399	31

416116.0	105665.107652	172951.782872	137499.109476	32

416116.0	90065.3857152	170217.594342	155833.019943	33

416116.0	77163.1007742	165244.237403	173708.661823	34

416116.0	66710.6833544	158492.448078	190912.868567	35

416116.0	58415.715505	150416.300297	207283.984198	36

416116.0	51924.9166449	141479.802525	222711.28083	37

416116.0	46871.353499	132112.057661	237132.58884	38

416116.0	42925.7869077	122662.981391	250527.231701	39

416116.0	39821.0078887	113388.787427	262906.204684	40

416116.0	37352.5171372	104461.046312	274302.43655	41

416116.0	35368.2948742	95984.975068	284762.730058	42

416116.0	33756.4616469	88017.7898251	294341.748528	43

416116.0	32434.5613011	80583.6369186	303097.80178	44

416116.0	31341.3405162	73684.6445904	311090.014893	45

416116.0	30430.7824701	67308.7262335	318376.491296	46

416116.0	29667.8767496	61434.9570051	325013.166245	47

416116.0	29025.6403793	56037.2292755	331053.130345	48

416116.0	28483.0146906	51086.7162373	336546.269072	49

416116.0	28023.3690679	46553.518511	341539.112421	50

416116.0	27633.4251557	42407.7523887	346074.822456	51

416116.0	27302.4740275	38620.2563459	350193.269627	52

416116.0	27021.7993316	35163.036204	353931.164464	53

416116.0	26784.246844	32009.5311852	357322.221971	54

416116.0	26583.899337	29134.7573122	360397.343351	55

416116.0	26415.8281411	26515.3671197	363184.804739	56

416116.0	26275.9012463	24129.6527331	365710.446021	57

416116.0	26160.6335839	21957.5111921	367997.855224	58

416116.0	26067.0691387	19980.3852467	370068.545615	59

416116.0	25992.6873381	18181.1889129	371942.123749	60

416116.0	25935.328145	16544.2243099	373636.447545	61

416116.0	25893.1316937	15055.0943449	375167.773961	62

416116.0	25864.4893307	13700.6144202	376550.896249	63

416116.0	25848.00367	12468.7253424	377799.270988	64

416116.0	25842.4558228	11348.408899	378925.135278	65

416116.0	25846.778378	10329.6070543	379939.614568	66

416116.0	25860.0330163	9403.14534759	380852.821636	67

416116.0	25881.3918821	8560.66081208	381673.947306	68

416116.0	25910.122015	7794.53454333	382411.343442	69

416116.0	25945.5722876	7097.82891354	383072.598799	70

416116.0	25987.1624028	6464.22933527	383664.608262	71

416116.0	26034.3735923	5887.99041538	384193.635992	72

416116.0	26086.7407244	5363.8862993	384665.372976	73

416116.0	26143.8455847	4887.16498091	385084.989434	74

416116.0	26205.3111351	4453.50634044	385457.182524	75

416116.0	26270.7965937	4058.983668	385786.219738	76

416116.0	26339.9932031	3700.02843189	386075.978365	77

416116.0	26412.6205795	3373.39805667	386329.981364	78

416116.0	26488.4235534	3076.14648427	386551.429962	79

416116.0	26567.1694262	2805.59730212	386743.233272	80

416116.0	26648.6455812	2559.31923387	386908.035185	81

416116.0	26732.657397	2335.10380052	387048.238802	82

416116.0	26819.0264191	2130.944972	387166.028609	83

416116.0	26907.5887533	1945.02064212	387263.390605	84

416116.0	26998.1936495	1775.67577117	387342.130579	85

416116.0	27090.7022508	1621.4070527	387403.890697	86

416116.0	27184.9864838	1480.84897166	387450.164545	87

416116.0	27280.9280734	1352.76113186	387482.310795	88

416116.0	27378.4176645	1236.01674045	387501.565595	89

416116.0	27477.3540367	1129.59214634	387509.053817	90

416116.0	27577.6434027	1032.5573383	387505.799259	91

416116.0	27679.1987762	944.067316289	387492.733908	92

416116.0	27781.9394048	863.354256964	387470.706338	93

416116.0	27885.7902579	789.720401459	387440.489341	94

416116.0	27990.6815636	722.531599451	387402.786837	95

416116.0	28096.5483896	661.211449603	387358.240161	96

416116.0	28203.3302626	605.235981713	387307.433756	97

416116.0	28310.9708226	554.128830786	387250.900347	98

416116.0	28419.4175078	507.456857735	387189.125634	99

416116.0	28528.6212669	464.826175506	387122.552558	100

416116.0	28638.5362966	425.878543162	387051.58516	101

416116.0	28749.1198012	390.288093872	386976.592105	102

416116.0	28860.3317719	357.758365872	386897.909862	103

416116.0	28972.1347853	328.019608293	386815.845606	104

416116.0	29084.493817	300.826336346	386730.679847	105

416116.0	29197.3760707	275.955112695	386642.668817	106

416116.0	29310.7508213	253.202533999	386552.046645	107

416116.0	29424.5892692	232.383403546	386459.027327	108

416116.0	29538.8644069	213.329072677	386363.80652	109

416116.0	29653.5508949	195.885935288	386266.56317	110

416116.0	29768.6249477	179.914061182	386167.460991	111

416116.0	29884.064228	165.285955352	386066.649817	112

416116.0	29999.8477489	151.885431488	385964.26682	113

416116.0	30115.9557829	139.606589081	385860.437628	114

416116.0	30232.3697782	128.352884508	385755.277337	115

416116.0	30349.0722807	118.036287354	385648.891432	116

416116.0	30466.0468612	108.57651408	385541.376625	117

416116.0	30583.2780491	99.9003318299	385432.821619	118

416116.0	30700.7512691	91.9409259087	385323.307805	119

