Name	 S 	 I 	 R 	 Total 	 Time 

London	7074.0	3928.0	948.0	11950.0	0
Paris	7324.0	4068.0	974.0	12366.0	0
Rome	1751.0	971.0	285.0	3007.0	0
Berlin	2086.0	1158.0	317.0	3561.0	0
Madrid	1887.0	1049.0	293.0	3229.0	0
Warsaw	1046.0	581.0	164.0	1791.0	0
Budapest	1043.0	580.0	205.0	1828.0	0
Sofia	850.0	474.0	184.0	1508.0	0
Stockholm	570.0	318.0	106.0	994.0	0
Hong-Kong	4191.0	2328.0	591.0	7110.0	0
Tokyo	7852.0	4362.0	1040.0	13254.0	0
Peking	12399.0	6886.0	1588.0	20873.0	0
Shanghai	9899.0	5500.0	1298.0	16697.0	0
Singapore	3575.0	1987.0	505.0	6067.0	0
Manila	1112.0	620.0	215.0	1947.0	0
Bangkok	4875.0	2708.0	672.0	8255.0	0
Jacarta	5666.0	3147.0	768.0	9581.0	0
Calcutta	2662.0	1479.0	440.0	4581.0	0
Bombay	6990.0	3881.0	950.0	11821.0	0
Delhi	9587.0	5325.0	1285.0	16197.0	0
Madras	4085.0	2267.0	561.0	6913.0	0
Seoul	5966.0	3311.0	800.0	10077.0	0
Teheran	5100.0	2832.0	792.0	8724.0	0
Karachi	11807.0	6561.0	1490.0	19858.0	0
Cairo	8576.0	4763.0	1115.0	14454.0	0
Lagos	7140.0	3967.0	982.0	12089.0	0
Kinshasa	7089.0	3936.0	893.0	11918.0	0
Johannesburg	2666.0	1483.0	385.0	4534.0	0
Casablanca	2018.0	1119.0	310.0	3447.0	0
Mexico	12344.0	6854.0	1610.0	20808.0	0
Bogota	4027.0	2236.0	560.0	6823.0	0
Havana	1264.0	700.0	211.0	2175.0	0
Caracas	2906.0	1613.0	429.0	4948.0	0
Lima	5191.0	2885.0	725.0	8801.0	0
Santiago	2870.0	1596.0	452.0	4918.0	0
Buenos Aires	8204.0	4558.0	1110.0	13872.0	0
Rio de Janeiro	7381.0	4102.0	986.0	12469.0	0
Sao Paulo	6957.0	3860.0	953.0	11770.0	0
Honolulu	1124.0	623.0	223.0	1970.0	0
Sydney	2873.0	1593.0	394.0	4860.0	0
Melbourne	2651.0	1472.0	343.0	4466.0	0
Perth	1362.0	753.0	186.0	2301.0	0
Wellington	243.0	130.0	30.0	403.0	0
Montreal	4238.0	2351.0	618.0	7207.0	0
New York	4654.0	2586.0	633.0	7873.0	0
Los Angeles	8266.0	4595.0	1068.0	13929.0	0
Washington	3722.0	2069.0	525.0	6316.0	0
Houston	3744.0	2079.0	530.0	6353.0	0
Chicago	5781.0	3214.0	769.0	9764.0	0
San Francisco	4809.0	2670.0	634.0	8113.0	0
Atlanta	3941.0	2189.0	538.0	6668.0	0
Capetown	813.0	450.0	109.0	1372.0	0

London	4179.0	4618.0	3016.0	11813.0	1
Paris	4325.0	4781.0	3103.0	12209.0	1
Rome	1066.0	1175.0	977.0	3218.0	1
Berlin	1255.0	1386.0	1099.0	3740.0	1
Madrid	1133.0	1252.0	986.0	3371.0	1
Warsaw	636.0	698.0	587.0	1921.0	1
Budapest	631.0	694.0	720.0	2045.0	1
Sofia	508.0	560.0	677.0	1745.0	1
Stockholm	355.0	393.0	417.0	1165.0	1
Hong-Kong	2484.0	2747.0	1918.0	7149.0	1
Tokyo	4576.0	5059.0	3289.0	12924.0	1
Peking	7269.0	8035.0	4996.0	20300.0	1
Shanghai	5824.0	6436.0	4113.0	16373.0	1
Singapore	2282.0	2521.0	1759.0	6562.0	1
Manila	732.0	812.0	796.0	2340.0	1
Bangkok	2884.0	3189.0	2179.0	8252.0	1
Jacarta	3298.0	3644.0	2453.0	9395.0	1
Calcutta	1577.0	1743.0	1475.0	4795.0	1
Bombay	3926.0	4338.0	2916.0	11180.0	1
Delhi	5476.0	6052.0	3975.0	15503.0	1
Madras	2616.0	2888.0	1961.0	7465.0	1
Seoul	3508.0	3877.0	2560.0	9945.0	1
Teheran	2941.0	3250.0	2546.0	8737.0	1
Karachi	6606.0	7304.0	4536.0	18446.0	1
Cairo	4767.0	5266.0	3373.0	13406.0	1
Lagos	4218.0	4662.0	3159.0	12039.0	1
Kinshasa	4165.0	4604.0	2826.0	11595.0	1
Johannesburg	1599.0	1771.0	1271.0	4641.0	1
Casablanca	1213.0	1338.0	1041.0	3592.0	1
Mexico	7255.0	8019.0	5059.0	20333.0	1
Bogota	2392.0	2643.0	1821.0	6856.0	1
Havana	759.0	836.0	716.0	2311.0	1
Caracas	1740.0	1922.0	1418.0	5080.0	1
Lima	3035.0	3355.0	2309.0	8699.0	1
Santiago	1681.0	1857.0	1484.0	5022.0	1
Buenos Aires	4647.0	5141.0	3415.0	13203.0	1
Rio de Janeiro	4317.0	4773.0	3132.0	12222.0	1
Sao Paulo	4067.0	4492.0	3017.0	11576.0	1
Honolulu	964.0	1065.0	959.0	2988.0	1
Sydney	1711.0	1889.0	1276.0	4876.0	1
Melbourne	1585.0	1749.0	1101.0	4435.0	1
Perth	894.0	986.0	665.0	2545.0	1
Wellington	221.0	239.0	158.0	618.0	1
Montreal	3002.0	3317.0	2282.0	8601.0	1
New York	2717.0	3002.0	2032.0	7751.0	1
Los Angeles	4344.0	4796.0	3072.0	12212.0	1
Washington	2328.0	2569.0	1806.0	6703.0	1
Houston	2204.0	2435.0	1708.0	6347.0	1
Chicago	3456.0	3823.0	2508.0	9787.0	1
San Francisco	2734.0	3019.0	2004.0	7757.0	1
Atlanta	2592.0	2863.0	1937.0	7392.0	1
