S	I	R	Total	Time

3469.0	0.0	0.0	3469.0	0.0

3469.0	0.0	0.0	3469.0	1.0

3468.99997406	2.40015230647e-05	1.93349961927e-06	3469.0	1.0

3468.99996975	2.58300960759e-05	4.42487624704e-06	3469.0	2.0

3468.9999174	7.22756579743e-05	1.03218966586e-05	3469.0	2.0

3468.9999044	7.77820298614e-05	1.78241657552e-05	3469.00000001	3.0

3468.99981	0.000160043496956	2.99556650525e-05	3469.0	3.0

3468.99978121	0.000172236522455	4.6568303547e-05	3469.00000001	4.0

3468.99961492	0.000316471783393	6.86077139649e-05	3469.0	4.0

3468.99955798	0.000340582403497	0.00010145772914	3469.00000002	5.0

3468.99926611	0.000594129638573	0.000139763909068	3469.0	5.0

3468.99915922	0.000639393801071	0.000201435023161	3469.00000005	6.0

3468.99864637	0.0010865488198	0.00026708303633	3469.0	6.0

3468.99845089	0.00116932822702	0.000379867638835	3469.00000008	7.0

3468.99754769	0.00196010521397	0.000492210745742	3469.0	7.0

3468.99719504	0.00210943694206	0.000695671167305	3469.00000015	8.0

3468.9955991	0.00351211105867	0.000888790151423	3469.0	8.0

3468.99496724	0.00377968283851	0.00125334994863	3469.00000027	9.0

3468.99213401	0.00627800397615	0.00158799002649	3469.0	9.0

3468.99100454	0.00675629531355	0.00223965155025	3469.00000048	10.0

3468.98594152	0.0112326356175	0.00282585182965	3469.00000001	10.0

3468.98392066	0.012088392824	0.00399180764245	3469.00000086	11.0

3468.97479049	0.0201765377947	0.00503298704775	3469.00000001	11.0

3468.97116055	0.021713672314	0.00712732583887	3469.00000155	12.0

3468.95449525	0.0364960063048	0.00900877178695	3469.00000003	12.0

3468.94792934	0.0392763846886	0.0127970808102	3469.00000281	13.0

3468.91703011	0.0667007789088	0.0162691581355	3469.00000005	13.0

3468.90503029	0.0717821059886	0.0231927351141	3469.00000513	14.0

3468.84661195	0.123626181535	0.0297619588941	3469.00000009	14.0

3468.82437147	0.133043636429	0.0425943992951	3469.00000951	15.0

3468.71132342	0.233294526077	0.0553822291965	3469.00000017	15.0

3468.66935539	0.251064351083	0.0795981939303	3469.00001794	16.0

3468.44471607	0.450009882983	0.105274380259	3469.00000033	16.0

3468.36376973	0.48427979179	0.151985058829	3469.00003458	17.0

3467.90447883	0.890313172829	0.205208644746	3469.00000065	17.0

3467.74436118	0.958086045797	0.297621127319	3469.00006835	18.0

3466.77804805	1.81056777802	0.411385491564	3469.00000132	18.0

3466.45255103	1.94827505632	0.599312636822	3469.00013873	19.0

3464.36583934	3.78500478698	0.849158634312	3469.00000276	19.0

3463.68593649	4.07235600764	1.24199627136	3469.00028877	20.0

3459.09106151	8.10695187709	1.80199246531	3469.00000585	20.0

3457.63738441	8.71995139691	2.64327693506	3469.00061274	21.0

3447.45759024	17.633151418	3.90927083107	3469.00001248	21.0

3444.30811278	18.9546428207	5.73854957284	3469.00130518	22.0

3422.18488985	38.2493468065	8.56578927742	3469.00002593	22.0

3415.41128444	41.0602905867	12.5311275876	3469.00270262	23.0

3370.16988581	80.2701569457	18.5600067782	3469.00004953	23.0

3356.20489949	85.9301098858	26.8701200449	3469.00512942	24.0

3273.43402842	156.933948502	38.6321028063	3469.00007973	24.0

3247.03353625	167.137410181	54.8371983772	3469.00814481	25.0

3116.48164782	277.391480925	75.1269661264	3469.00009487	25.0

3072.36926984	292.988251436	103.651881139	3469.00940241	26.0

2896.07193363	438.628666209	134.299457394	3469.00005723	26.0

2831.8772628	457.983017593	179.14474218	3469.00502258	27.0

2624.29087988	624.538769938	220.170289249	3468.99993907	27.0

2542.41166464	643.006855295	283.573937734	3468.99245767	28.0

2323.05923192	812.671746747	333.268768988	3468.99974766	28.0

2229.88159646	823.955077121	415.136222775	3468.97289636	29.0

2015.80049109	982.441640097	470.757389937	3468.99952112	29.0

1919.18970136	980.802477337	568.958265816	3468.95044451	30.0

1721.64227109	1119.85590808	627.501124725	3468.9993039	30.0

1628.56317667	1101.75315553	738.613144448	3468.92947665	31.0

1453.24134605	1218.39831307	797.359467747	3468.99912687	31.0

1368.50467087	1182.9645531	917.443565285	3468.91278926	32.0

1217.02329667	1277.73402375	974.241681729	3468.99900215	32.0

1143.12208501	1226.33864647	1099.44057814	3468.90130962	33.0

1014.57781057	1301.64136816	1152.77974917	3468.9989279	33.0

952.148729299	1237.05791942	1279.68804252	3468.89469124	34.0

844.341273811	1296.01222586	1328.64539583	3468.9988955	34.0

792.809340707	1221.60335671	1454.47932821	3468.89202562	35.0

703.05918728	1267.33302234	1498.60668517	3468.99889479	35.0

661.208313503	1186.45158965	1621.23241535	3468.8923185	36.0

586.831323899	1221.73725497	1660.43033783	3468.9989167	36.0

553.210190625	1137.37454996	1778.30996757	3468.89470815	37.0

491.748889995	1164.53466814	1812.71539593	3468.99895406	37.0

464.917246278	1079.16518929	1924.8160857	3468.89852128	38.0

414.22404013	1100.06138449	1954.71357688	3468.9990015	38.0

392.879661079	1015.61520625	2060.40838905	3468.90325638	39.0

351.123472476	1031.71047766	2086.16510494	3468.99905508	39.0

334.152287219	949.615610355	2185.14064932	3468.90854689	40.0

299.792732277	962.045369849	2207.16100982	3468.99911195	40.0

286.274964791	883.301035056	2299.33812646	3468.91412631	41.0

258.026521932	892.939342441	2318.03330566	3468.99917004	41.0

247.220690659	818.196947294	2403.50216346	3468.91980141	42.0

224.016308746	825.712566632	2419.27035248	3468.99922785	42.0

215.334257773	755.35211973	2498.23905552	3468.92543303	43.0

196.291714254	761.254148012	2511.45342207	3468.99928434	43.0

189.271956334	695.450641808	2584.20832433	3468.93092247	44.0

173.663923067	700.124997546	2595.21041814	3468.99933876	44.0

167.946903609	638.903162724	2662.08613537	3468.9362017	45.0

155.17488226	642.641432456	2671.1830759	3468.99939062	45.0

150.481637893	585.919303825	2732.54028425	3468.94122597	46.0

