S	I	R	Total	Time

1733.0	0.0	0.0	1733.0	0.0

1733.0	0.0	0.0	1733.0	1.0

1732.99999929	6.38880844477e-07	7.34171146036e-08	1733.0	1.0

1732.99999923	6.08155543904e-07	1.62451170059e-07	1733.0	2.0

1732.99999799	1.65851592097e-06	3.54860082292e-07	1733.0	2.0

1732.99999784	1.57875394236e-06	5.85989877078e-07	1733.0	3.0

1732.99999571	3.31386343249e-06	9.73313794736e-07	1733.0	3.0

1732.99999541	3.15449185123e-06	1.43513183662e-06	1733.0	4.0

1732.99999183	6.02880756537e-06	2.14374529687e-06	1733.0	4.0

1732.99999128	5.73886785647e-06	2.98391634228e-06	1733.0	5.0

1732.99998527	1.05087554522e-05	4.22412731934e-06	1733.0	5.0

1732.99998431	1.00033643802e-05	5.68862124404e-06	1733.0	6.0

1732.99997426	1.79288937995e-05	7.81050112796e-06	1733.0	6.0

1732.99997262	1.70666505957e-05	1.03090611294e-05	1733.0	7.0

1732.99995585	3.02496361335e-05	1.38956757028e-05	1733.0	7.0

1732.99995309	2.87948590573e-05	1.8111247043e-05	1733.0	8.0

1732.99992512	5.0746648164e-05	2.41346341195e-05	1733.0	8.0

1732.99992048	4.83061208592e-05	3.12066568866e-05	1733.0	9.0

1732.99987381	8.4904472062e-05	4.12893942966e-05	1733.0	9.0

1732.99986605	8.08212133329e-05	5.31216311106e-05	1732.99999999	10.0

1732.99978809	0.000141929601008	6.99767692869e-05	1733.0	10.0

1732.99977513	0.000135103867064	8.97559941651e-05	1732.99999999	11.0

1732.99964474	0.000237325878334	0.000117929706037	1733.0	11.0

1732.99962307	0.000225912307464	0.000151003299319	1732.99999998	12.0

1732.99940456	0.00039730635133	0.000198134281132	1733.0	12.0

1732.99936827	0.000378198930637	0.000253502657633	1732.99999997	13.0

1732.99900112	0.000666410405819	0.000332469908196	1733.0	13.0

1732.99894025	0.00063436110784	0.000425340464427	1732.99999995	14.0

1732.99832127	0.00112077918784	0.000557951473322	1733.0	14.0

1732.9982189	0.00106687814912	0.000714142588771	1732.99999992	15.0

1732.99717093	0.00189155316476	0.000937520106201	1733.0	15.0

1732.99699816	0.0018005835868	0.00120112581244	1732.99999987	16.0

1732.99521446	0.00320665639244	0.00157888005605	1733.0	16.0

1732.99492158	0.00305243983989	0.0020257577294	1732.99999978	17.0

1732.99186567	0.00546656333272	0.00266776627489	1733.0	17.0

1732.99136638	0.00520366093159	0.00342958312656	1732.99999962	18.0

1732.9860884	0.00938408808913	0.00452750891721	1732.99999999	18.0

1732.9852313	0.0089327780314	0.00583526936329	1732.99999935	19.0

1732.97602532	0.0162472843829	0.00772738748575	1732.99999999	19.0

1732.97454138	0.0154658931395	0.00999159789816	1732.99999887	20.0

1732.9582928	0.0284238883489	0.0132832962772	1732.99999998	20.0

1732.95569675	0.0270568530011	0.0172444279283	1732.99999803	21.0

1732.92661674	0.050346688155	0.0230365329323	1732.99999996	21.0

1732.9220185	0.0479252000122	0.0300528032918	1732.99999651	22.0

1732.86916775	0.090450727477	0.040381455394	1732.99999994	22.0

1732.86090704	0.0861001085339	0.0529865695188	1732.99999372	23.0

1732.76345686	0.164869136865	0.0716738899347	1732.99999988	23.0

1732.74840063	0.156938117016	0.0946498047532	1732.99998855	24.0

1732.56735428	0.30374664015	0.128898861382	1732.99999979	24.0

1732.53961883	0.289131762278	0.171228306461	1732.9999789	25.0

1732.20510328	0.5605089174	0.234387411992	1732.9999996	25.0

1732.15393412	0.533529045217	0.312497884854	1732.99996105	26.0

1731.54359427	1.02777006232	0.428634944844	1732.99999927	26.0

1731.44980724	0.978262652436	0.571858601485	1732.9999285	27.0

1730.34810694	1.86809356951	0.7837981718	1732.99999868	27.0

1730.17776489	1.77798941511	1.04411549004	1732.99986979	28.0

1728.22845612	3.34499424165	1.42654726572	1732.99999763	28.0

1727.92384579	3.18327810129	1.89264217419	1732.99976607	29.0

1724.63836101	5.79500150001	2.56663335624	1732.99999586	29.0

1724.111823	5.51373477953	3.37403467047	1732.99959245	30.0

1719.02891817	9.46269200369	4.50838301081	1732.99999319	30.0

1718.1721396	9.00059996824	5.82658922165	1732.99932878	31.0

1711.12930697	14.2630565551	7.60762608508	1732.99998961	31.0

1709.84425951	13.5605994067	9.59411753274	1732.99897645	32.0

1701.07177444	19.7553979076	12.1728130618	1732.99998541	32.0

1699.30308197	18.7719891134	14.9234910461	1732.99856213	33.0

1689.23133299	25.3888733794	18.3797745691	1732.99998094	33.0

1686.9751488	24.1092826163	21.9136913807	1732.9981228	34.0

1676.01215747	30.7304547073	26.2573643673	1732.99997654	34.0

1673.30400025	29.1604526103	30.5332370155	1732.99768988	35.0

1661.74233411	35.5319180445	35.7257202548	1732.99997241	35.0

1658.63927468	33.6902603513	40.6677484268	1732.99728346	36.0

1646.65316725	39.7010001218	46.6458012631	1732.99996863	36.0

1643.21925325	37.6122349341	52.165424799	1732.99691298	37.0

1630.894559	43.2465408891	58.8588653523	1732.99996524	37.0

1627.19166892	40.9360631078	64.8688483402	1732.99658037	38.0

1614.56419352	46.2249788238	72.2107898699	1732.99996221	38.0

1610.64791623	43.716528536	78.6318388086	1732.99628358	39.0

1597.73731185	48.7002548905	86.5623927664	1732.99995951	39.0

1593.65641082	46.0154166896	93.3241921244	1732.99601963	40.0

1580.48385364	50.7259987695	101.7901047	1732.99995711	40.0

1576.28124869	47.8846600998	108.82987734	1732.99578613	41.0

1562.86843891	52.3482811344	117.783234961	1732.999955	41.0

1558.58194924	49.3689465836	125.04468523	1732.99558105	42.0

1544.94204425	53.6152194089	134.442689498	1732.99995316	42.0

1540.60437074	50.5147541903	141.876276992	1732.99540193	43.0

1526.73663941	54.5812025853	151.682109543	1732.99995154	43.0

1522.37505992	51.3742806366	159.245904848	1732.9952454	44.0

1508.26659975	55.3036738435	169.429676507	1732.99995011	44.0

1503.90296416	52.002375222	177.089768117	1732.9951075	45.0

1489.53450762	55.8366841331	187.628757068	1732.99994882	45.0

1485.18574586	52.4504732598	195.358765067	1732.99498419	46.0

1470.53762742	56.2255395032	206.236780723	1732.99994765	46.0

1466.21664079	52.7615994506	214.016631721	1732.99487197	47.0

1451.27265198	56.5045080305	225.222786552	1732.99994656	47.0

1446.9893251	52.968267916	233.037175123	1732.99476814	48.0

1431.73813154	56.6973466051	244.564467393	1732.99994553	48.0

1427.50024484	53.0930315473	252.401394452	1732.99467084	49.0

1411.93529705	56.8192549773	264.24539254	1732.99994456	49.0

1407.74924104	53.1503605068	272.0949774	1732.99457895	50.0

1391.86840054	56.8788380562	284.252705046	1732.99994364	50.0

1387.73970348	53.1485169752	292.106271459	1732.99449191	51.0

1371.54536219	56.8793301264	304.575250449	1732.99994277	51.0

1367.47909432	53.0907313213	312.424584062	1732.9944097	52.0

1350.97890088	56.8190928501	325.201948214	1732.99994195	52.0

1346.9800118	52.9756960819	333.038624905	1732.99433279	53.0

1330.18785226	56.6918331088	346.120255818	1732.99994119	53.0

1326.26146284	52.7977971642	353.935002158	1732.99426216	54.0

1309.19820787	56.4870309266	367.314701716	1732.99994051	54.0

1305.34984428	52.5475386791	375.096816367	1732.99419932	55.0

1288.04349149	56.1908672974	388.765581137	1732.99993993	55.0

1284.27923283	52.2124277083	396.502485686	1732.99414622	56.0

1266.76429971	55.7876745111	410.447965244	1732.99993947	56.0

1263.09081399	51.7783353867	418.124955736	1732.99410511	57.0

1245.40705866	55.2617189872	432.331161506	1732.99993916	57.0

1241.83151876	51.2311540818	439.931405515	1732.99407836	58.0

1224.02221569	54.5990225731	454.378700749	1732.99993902	58.0

1220.55210765	50.558476356	461.883484237	1732.99406824	59.0

1202.66216123	53.7889339539	476.548843882	1732.99993907	59.0

