S	I	R	Total	Time

4496.0	0.0	0.0	4496.0	0.0

4496.0	0.0	0.0	4496.0	1.0

4495.99650784	0.00323195539375	0.000260212499934	4496.0	1.0

4495.99573452	0.00366126726652	0.000604642244972	4496.00000043	2.0

4495.98900392	0.00966090729515	0.00133518081891	4496.00000001	2.0

4495.98669236	0.0109441946861	0.00236474427032	4496.0000013	3.0

4495.97280461	0.0231384504307	0.00405697084849	4496.00000003	3.0

4495.96726829	0.0262119771455	0.0065228357582	4496.0000031	4.0

4495.93807201	0.0517410660216	0.0101869864388	4496.00000006	4.0

4495.92569209	0.0586138238822	0.0157010271452	4496.00000694	5.0

4495.86429571	0.112338742271	0.0233656860514	4496.00000014	5.0

4495.8374173	0.127260165742	0.0353375913919	4496.00001506	6.0

4495.70899619	0.23994653809	0.0510575724748	4496.0000003	6.0

4495.65158848	0.271815188165	0.0766284926162	4496.00003216	7.0

4495.38467954	0.506816031448	0.108505063212	4496.00000063	7.0

4495.2634334	0.574118917218	0.16251558199	4496.0000679	8.0

4494.71195677	1.06129930027	0.226745247146	4496.00000132	8.0

4494.45810731	1.20219074109	0.33984401403	4496.00014207	9.0

4493.32445491	2.2067058037	0.468842028658	4496.00000274	9.0

4492.79683714	2.49946413596	0.703993608833	4496.00029488	10.0

4490.47685407	4.56045073691	0.962700839114	4496.00000565	10.0

4489.38730381	5.16466854085	1.44863486818	4496.00060722	11.0

4484.66128037	9.37156772307	1.96716343588	4496.00001153	11.0

4482.42582481	10.6098321031	2.9655817215	4496.00123863	12.0

4472.85875414	19.1374223342	4.00384675275	4496.00002322	12.0

4468.30841833	21.6520433048	6.04202983987	4496.00249147	13.0

4449.15829591	38.7279885071	8.11376129107	4496.0000457	13.0

4440.0092114	43.7599664383	12.2357112778	4496.00488912	14.0

4402.5339983	77.1377644311	16.3283232914	4496.00008602	14.0

4384.54262618	86.9386315595	24.5278915736	4496.00914931	15.0

4314.41020739	149.168379712	32.4215613713	4496.00014847	15.0

4280.45919164	167.316656757	48.2397634663	4496.01561187	16.0

4159.24887308	274.002556868	62.7487876455	4496.00021759	16.0

4099.56907588	304.770545269	91.6827327222	4496.02235387	17.0

3913.44623216	466.248942005	116.305059148	4496.00023332	17.0

3818.97833	511.828843471	165.215546569	4496.02272004	18.0

3570.21351895	722.970155799	202.816426453	4496.0001012	18.0

3438.61867314	779.418565138	277.96988777	4496.00712605	19.0

3146.8135119	1019.92105837	329.265196386	4495.99976666	19.0

2986.12552591	1075.72507541	434.120768698	4495.97137001	20.0

2679.03322138	1319.79462585	497.171434111	4495.99928134	20.0

2505.33152545	1359.35502101	631.23590423	4495.92245069	21.0

2209.5047674	1584.4212414	702.072769666	4495.99877847	21.0

2040.54682423	1594.20694196	861.120449473	4495.87421566	22.0

1775.33087336	1785.76228669	934.905222382	4495.99838243	22.0

1624.61035383	1758.99020253	1112.23737842	4495.83793478	23.0

1399.79438776	1911.78126558	1184.42249173	4495.99814507	23.0

1274.04793676	1849.24559491	1372.5237314	4495.81726306	24.0

1091.10068084	1965.25977396	1439.63759616	4495.99805096	24.0

991.17696188	1873.08139592	1631.55152968	4495.80988748	25.0

846.338329472	1958.18559001	1691.47413727	4495.99805675	25.0

769.522887682	1844.72145236	1881.56714237	4495.81148242	26.0

656.772427222	1905.81929606	1933.40639814	4495.99812142	26.0

598.93264011	1779.31385368	2117.57177612	4495.81826991	27.0

511.945627671	1822.70532177	2161.34726719	4495.99821662	27.0

468.882922242	1690.07674716	2336.86805919	4495.82772859	28.0

402.00047691	1720.82856422	2373.16928449	4495.99832562	28.0

370.078792007	1587.3176116	2538.4419818	4495.8383854	29.0

318.634026462	1609.21704115	2568.14737161	4495.99843922	29.0

294.956009773	1478.50247365	2722.39094396	4495.84942738	30.0

255.269940461	1494.2571294	2746.47148261	4495.99855248	30.0

237.633607408	1368.74899532	2889.47780531	4495.86040804	31.0

206.878653009	1380.24330149	2908.87670814	4495.99866264	31.0

193.655493617	1261.39810813	3040.81747425	4495.871076	32.0

169.6880955	1269.92406668	3056.386606	4495.99876817	32.0

159.691652991	1158.51685371	3177.67277946	4495.88128616	33.0

140.897522272	1164.95467607	3190.14666984	4495.99886819	33.0

133.269547389	1061.29122888	3301.33017909	4495.89095535	34.0

118.43559369	1066.24077844	3311.32259008	4495.99896221	34.0

112.556453395	970.314068471	3413.02951766	4495.90003952	35.0

100.770445695	974.186502127	3421.04210223	4495.99905005	35.0

96.1920751912	885.78809687	3513.92834884	4495.9085209	36.0

86.766302976	888.868101245	3520.36472748	4495.9991317	36.0

83.1634090432	807.665712244	3605.08727864	4495.91639993	37.0

75.5775159384	810.153100773	3610.26859057	4495.99920728	37.0

72.7126039409	735.743663918	3687.46742188	4495.92368974	38.0

66.571121076	737.780936347	3691.64721958	4495.99927701	38.0

64.2696216753	669.726426168	3761.93436418	4495.93041202	39.0

59.2705238546	671.416969638	3765.31184766	4495.99934115	39.0

57.4031521465	609.26820435	3829.26523756	4495.93659406	40.0

53.3145820719	610.688333411	3831.99648455	4495.99940003	40.0

51.7848204307	554.000502439	3890.15694358	4495.94226645	41.0

48.4278308397	555.207471913	3892.36415121	4495.99945397	41.0

47.1630235275	503.549992681	3945.23444526	4495.94746147	42.0

44.398744443	504.587385443	3947.01337341	4495.9995033	42.0

43.3437350874	457.549894028	3995.05858275	4495.95221187	43.0

41.063796484	458.451295468	3996.48445641	4495.99954836	43.0

40.1763582017	415.647014608	4040.13317721	4495.95655002	44.0

38.2957124867	416.438562975	4041.26531401	4495.99958947	44.0

37.5432456206	377.50590267	4080.91135907	4495.96050736	45.0

35.9947646499	378.20809501	4081.79676728	4495.99962694	45.0

35.3518946848	342.811073768	4117.80114551	4495.96411397	46.0

34.0822838759	343.440072228	4118.47730497	4495.99966107	46.0

33.5291018913	311.267963482	4151.17033299	4495.96739836	47.0

32.4957959963	311.836560421	4151.66733572	4495.99969214	47.0

32.0165603968	282.603042522	4181.35078444	4495.97038736	48.0

31.1853541714	283.121387781	4181.69297844	4495.99972039	48.0

30.767525633	256.563389102	4208.64219125	4495.97310599	49.0

30.1107571832	257.039547613	4208.84944129	4495.99974608	49.0

29.7442758836	232.915918334	4233.31538332	4495.97557754	50.0

29.2394275758	233.356303842	4233.40403801	4495.99976943	50.0

28.9161677917	211.446404355	4255.61525142	4495.97782356	51.0

28.5447840986	211.856120555	4255.59888599	4495.99979064	51.0

