S	I	R	Total	Time

434.0	0.0	0.0	434.0	0.0

434.0	0.0	0.0	434.0	1.0

434.0	0.0	0.0	434.0	1.0

434.0	0.0	0.0	434.0	2.0

433.999998979	9.00570524147e-07	1.20439977947e-07	434.0	2.0

433.99999896	8.32720296851e-07	2.07026313226e-07	434.0	3.0

433.999996475	3.00552019748e-06	5.1903038702e-07	434.0	3.0

433.999996413	2.77908015376e-06	8.07999404451e-07	434.0	4.0

433.99999141	7.17139930933e-06	1.41819950727e-06	434.0	4.0

433.999991261	6.63109617659e-06	2.10770151544e-06	433.999999999	5.0

433.999981802	1.49970511821e-05	3.20115036214e-06	434.0	5.0

433.999981489	1.38671526178e-05	4.64305820441e-06	433.999999999	6.0

433.999964159	2.93027471049e-05	6.53805763432e-06	434.0	6.0

433.999963547	2.7095037613e-05	9.35540221219e-06	433.999999998	7.0

433.999932404	5.5000212562e-05	1.25956575793e-05	434.0	7.0

433.999931256	5.08564204019e-05	1.78837129949e-05	433.999999996	8.0

433.999875995	0.000100606676824	2.33979492068e-05	434.0	8.0

433.999873895	9.30268302409e-05	3.30708878499e-05	433.999999992	9.0

433.999776681	0.00018086764113	4.24509894771e-05	434.0	9.0

433.999772905	0.000167240821329	5.98407060053e-05	433.999999986	10.0

433.999602854	0.000321314871685	7.58306109331e-05	434.0	10.0

433.999596145	0.000297106559463	0.000106723779416	433.999999976	11.0

433.99929967	0.000566239369643	0.000134089781488	434.0	11.0

433.999287847	0.000523578094878	0.000188531482314	433.999999957	12.0

433.998771589	0.000992772411127	0.000235637699819	433.999999999	12.0

433.99875086	0.000917975509436	0.000331088883145	433.999999924	13.0

433.997851103	0.00173608492273	0.000412810248583	433.999999999	13.0

433.997814854	0.00160528571248	0.000579728017998	433.999999868	14.0

433.996241741	0.0030352801713	0.000722976313523	433.999999998	14.0

433.996178365	0.00280659743818	0.00101480660861	433.999999769	15.0

433.993411813	0.00531885295187	0.00126932985416	433.999999996	15.0

433.993300757	0.00491812158818	0.00178071668788	433.999999595	16.0

433.98839091	0.00936817920064	0.00224090329596	433.999999993	16.0

433.988195307	0.00866236256392	0.00314161684059	433.999999287	17.0

433.979367882	0.0166400872058	0.0039920178622	433.999999987	17.0

433.979020453	0.0153863840287	0.00559189636754	433.999998733	18.0

433.96287013	0.0299245091675	0.0072053375118	433.999999977	18.0

433.962245359	0.0276699034601	0.0100824594038	433.999997722	19.0

433.932034827	0.0547278604174	0.0132372700925	433.999999957	19.0

433.930892288	0.0506044142357	0.0184991309512	433.999995834	20.0

433.872877543	0.102253806173	0.0248685706495	433.99999992	20.0

433.870743116	0.0945492565667	0.0346998430168	433.999992215	21.0

433.756178059	0.195867840662	0.0479539464434	433.999999846	21.0

433.75209067	0.181108658388	0.0667857584226	433.999985087	22.0

433.520332982	0.384686623938	0.0949800920832	433.999999698	22.0

433.512309752	0.35569519172	0.131965762049	433.999970706	23.0

433.038568306	0.769264579832	0.192166511422	433.999999397	23.0

433.022542277	0.711272612383	0.266126509628	433.999941399	24.0

432.068778504	1.5398858073	0.391334480731	433.999998792	24.0

432.036771378	1.42372992563	0.53938130883	433.999882612	25.0

430.201098348	3.01425850693	0.784640776063	433.999997631	25.0

430.13872169	2.78662588562	1.07442233285	433.999769908	26.0

426.820648463	5.66157736271	1.51776971406	433.99999554	26.0

426.70442615	5.23313039139	2.06201023464	433.999566776	27.0

421.074120132	10.1244537523	2.8014181057	433.99999199	27.0

420.869131703	9.35556113411	3.77452926164	433.999222099	28.0

411.840353248	17.2356144165	4.9240186074	433.999986272	28.0

411.49917378	15.9192582292	6.5802350778	433.998667087	29.0

397.759768444	27.9781652597	8.26204378693	433.99997749	29.0

397.225196399	25.8230262705	10.9495924882	433.997815158	30.0

377.396709409	43.3256375546	13.2776176803	433.999964644	30.0

376.611954724	39.9473107555	17.4373044932	433.996569973	31.0

349.608528155	63.9003933957	20.4910253175	433.999946869	31.0

348.537579677	58.8354422013	26.6218271635	433.994849042	32.0

314.148590721	89.4393221088	30.4120110866	433.999923916	32.0

312.803638368	82.2034956766	38.9854963056	433.992630351	33.0

272.308257527	118.273264074	43.4183751863	433.999896788	33.0

270.76921556	108.476801458	54.7439960213	433.990013039	34.0

227.090028536	147.304671182	59.6051683537	433.999868071	34.0

225.494365996	134.797986256	73.6948965428	433.987248794	35.0

182.485416834	172.834251994	78.6801725993	433.999841427	35.0

180.983479883	157.807735534	95.1934752785	433.984690695	36.0

142.142039117	191.871245746	99.9865354253	433.999820289	36.0

140.845140288	174.837182008	118.300344969	433.982667265	37.0

108.294349319	203.049132022	122.656325304	433.999806645	37.0

107.249845109	184.710749189	142.020772654	433.981366952	38.0

81.5336455399	206.656116568	145.810038598	433.999800706	38.0

80.7338658013	187.741537953	165.505403471	433.980807225	39.0

61.2571692788	204.036247548	168.706384556	433.999801382	39.0

60.6641572394	185.174431562	188.142293031	433.980881832	40.0

46.3016474265	196.89345965	190.80469995	433.999807027	40.0

45.8691902305	178.558983185	209.55325852	433.981431936	41.0

35.4213880773	186.819946443	211.758481478	433.999815999	41.0

35.1074868089	169.331785623	229.543027441	433.982299873	42.0

27.5334907503	175.090016666	231.376319523	433.999826938	42.0

27.3047918482	158.63759912	248.040964462	433.983355429	43.0

21.7922370164	162.630240181	249.57736164	433.999838838	43.0

21.6240812847	147.306506917	265.053913866	433.984502068	44.0

17.575674455	150.070299247	266.3538773	433.999851002	44.0

17.450504684	135.901485639	280.633682912	433.985673234	45.0

14.4413167044	137.814736969	281.743809303	433.999862976	45.0

14.3468480876	124.78354805	294.856429444	433.986825582	46.0

12.0794023157	126.108451117	295.812021047	433.99987448	46.0

12.0070804488	114.170727718	307.810124243	433.98793241	47.0

10.2741785879	115.087750828	308.637955939	433.999885355	47.0

10.2180285663	104.183902701	319.58704716	433.988978428	48.0

8.87503656709	104.81717391	320.307685042	433.99989552	48.0

8.83085240392	94.8797838679	330.279319651	433.989955922	49.0

7.776110737	95.3149329179	330.908861288	433.999904943	49.0

7.74090016804	86.2736954069	339.976266532	433.990862106	50.0

6.90224989303	86.57008683	340.527576907	433.99991363	50.0

6.87385838655	78.3549411836	348.762897743	433.991697313	51.0

6.19948712262	78.5539694707	349.246465008	433.999921602	51.0

6.17634365673	71.0970292761	356.719090862	433.992463795	52.0

5.62858543859	71.2277280446	357.143615411	433.999928895	52.0

5.60952987566	64.4644151743	363.919219885	433.993164935	53.0

5.16065391242	64.5472585004	364.292023137	433.99993555	53.0

5.14481886481	58.4169154326	370.432070422	433.99380472	54.0

4.77415047099	58.466407454	370.759383686	433.999941611	54.0

4.76087965941	52.9125700365	376.320937708	433.994387404	55.0

4.45281449158	52.9390212466	376.608111385	433.999947123	55.0

4.44160570393	47.9094729762	381.643838612	433.994917292	56.0

4.1842261219	47.9202280368	381.895497971	433.99995213	56.0

4.17469090298	43.3669163608	386.453791337	433.9953986	57.0

3.958791329	43.3672095478	386.673955797	433.999956674	57.0

3.95062616448	39.2460777568	390.799131452	433.995835373	58.0

