S	I	R	Total	Time

7071.0	0.0	0.0	7071.0	0.0

7071.0	0.0	0.0	7071.0	1.0

7071.0	0.0	0.0	7071.0	1.0

7071.0	0.0	0.0	7071.0	2.0

7071.0	7.43137427578e-11	1.77795757241e-11	7071.0	2.0

7071.0	9.43477721839e-11	2.978426842e-11	7071.0	3.0

7071.0	2.71403336233e-10	8.6581556519e-11	7071.0	3.0

7071.0	3.44570185629e-10	1.30424236583e-10	7071.0	4.0

7071.0	6.7132595348e-10	2.53014495962e-10	7071.0	4.0

7071.0	8.52306797768e-10	3.61460948411e-10	7071.0	5.0

7071.0	1.40895427017e-09	5.85860980986e-10	7071.0	5.0

7071.0	1.78879022327e-09	8.13464414863e-10	7071.0	6.0

7071.0	2.71608651985e-09	1.19164744897e-09	7071.0	6.0

7070.99999999	3.44830851868e-09	1.63040591808e-09	7071.0	7.0

7070.99999999	4.99909808165e-09	2.24266881368e-09	7071.0	7.0

7070.99999999	6.34679063965e-09	3.05022652776e-09	7071.0	8.0

7070.99999999	8.98446483985e-09	4.02831689656e-09	7071.0	8.0

7070.99999998	1.14065610269e-08	5.47967347526e-09	7071.0	9.0

7070.99999998	1.59957370508e-08	7.05067648014e-09	7071.0	9.0

7070.99999997	2.0307982066e-08	9.63463875432e-09	7071.0	10.0

7070.99999996	2.84884840424e-08	1.22054339952e-08	7071.0	10.0

7070.99999995	3.61686129987e-08	1.68074831399e-08	7071.0	11.0

7070.99999993	5.1097735054e-08	2.11294492274e-08	7071.0	11.0

7070.99999991	6.48730273441e-08	2.93838122027e-08	7071.0	12.0

7070.99999987	9.2715075137e-08	3.68780496519e-08	7071.0	12.0

7070.99999983	1.17709867144e-07	5.18553061322e-08	7071.0	13.0

7070.99999976	1.70655853583e-07	6.52622736356e-08	7071.0	13.0

7070.99999969	2.16662477194e-07	9.28301366307e-08	7071.0	14.0

7070.99999956	3.19109670339e-07	1.17521197286e-07	7071.0	14.0

7070.99999943	4.0513753393e-07	1.69070391102e-07	7071.0	15.0

7070.99999918	6.06447019313e-07	2.15721828408e-07	7071.0	15.0

