S	I	R	Total	Time

9757.0	0.0	0.0	9757.0	0.0

9757.0	0.0	0.0	9757.0	1.0

9757.0	0.0	0.0	9757.0	1.0

9757.0	0.0	0.0	9757.0	2.0

9756.99646019	0.00306419501859	0.000475625315367	9757.00000001	2.0

9756.99463828	0.00451264962061	0.00085053140432	9757.00000146	3.0

9756.98556803	0.0121114653723	0.00232054883057	9757.00000005	3.0

9756.9783668	0.0178365811287	0.0038023933462	9757.00000577	4.0

9756.95935602	0.0334962720528	0.00714783903836	9757.00000013	4.0

9756.93943989	0.0493299527932	0.0112461232119	9757.00001596	5.0

9756.90191485	0.0800020124633	0.0180834487145	9757.00000031	5.0

9756.85434788	0.1178185331	0.0278717141065	9757.00003812	6.0

9756.78213373	0.176685385637	0.041181564034	9757.00000068	6.0

9756.67708349	0.260201711727	0.0627989834434	9757.00008419	7.0

9756.53980481	0.372106405971	0.0880902242468	9757.00000144	7.0

9756.31857327	0.547986976447	0.133617023802	9757.00017727	8.0

9756.05897403	0.759893079963	0.181135819798	9757.00000293	8.0

9755.60722255	1.11903281337	0.274106503599	9757.00036186	9.0

9755.11657205	1.52034164895	0.363092165478	9757.00000587	9.0

9754.21287261	2.23875473456	0.549096090137	9757.00072343	10.0

9753.28267263	3.00123409756	0.716104841831	9757.00001157	10.0

9751.49923642	4.41892396506	1.08326557323	9757.00142596	11.0

9749.72525839	5.87606338169	1.39870082453	9757.0000226	11.0

9746.23545132	8.64985291553	2.11747950007	9757.00278374	12.0

9742.82579257	11.4554254061	2.7188258888	9757.00004386	12.0

9736.02976448	16.855840056	4.11979173383	9757.00539627	13.0

9729.42491658	22.2966489075	5.27851914604	9757.00008464	13.0

9716.22509099	32.7810869904	8.00420969175	9757.01038767	14.0

9703.3875252	43.3560659206	10.256570709	9757.00016183	14.0

9677.82531753	63.6419911908	15.5524565521	9757.01976527	15.0

9653.13163615	83.9390214222	19.9296455239	9757.0003031	15.0

9604.03280924	122.836998047	30.1668603992	9757.03666768	16.0

9558.32628346	160.174477374	38.4997813574	9757.0005422	16.0

9466.0287296	233.057585854	57.9780525233	9757.06436798	17.0

9387.58790226	296.346495597	73.0664881303	9757.00088599	17.0

9221.39640633	426.787421353	108.917504797	9757.10133249	18.0

9099.9932776	522.747893707	134.260060433	9757.00123174	18.0

8820.06815951	740.106470934	196.955713964	9757.13034441	19.0

8652.28867005	868.700440094	236.012147457	9757.00125761	19.0

8219.97089872	1198.30716075	338.829666353	9757.10772583	20.0

8012.94815366	1350.00777307	394.044488331	9757.00041507	20.0

7409.91866618	1796.14635274	550.907593098	9756.97261202	21.0

7180.98127614	1953.19471465	622.822235763	9756.99822656	21.0

6428.72079857	2483.42311263	844.550396434	9756.69430763	22.0

6200.16816213	2625.4133346	931.413351954	9756.99484869	22.0

5363.50824534	3171.154874	1221.66470328	9756.32782262	23.0

5155.21771002	3281.99787125	1319.7757269	9756.99130817	23.0

