S	I	R	Total	Time

12071.0	0.0	0.0	12071.0	0.0

12071.0	0.0	0.0	12071.0	1.0

12070.9999773	2.09687603051e-05	1.68204919582e-06	12071.0	1.0

12070.999961	3.46507770526e-05	4.41284307624e-06	12071.0	2.0

12070.9999261	6.54301209428e-05	8.42738632465e-06	12071.0	2.0

12070.999875	0.000108122964483	1.69484515171e-05	12071.0	3.0

12070.9998232	0.000152645448008	2.41820968205e-05	12071.0	3.0

12070.9997038	0.000252245877053	4.40613480073e-05	12071.0000001	4.0

12070.9996275	0.000316606267629	5.58572396351e-05	12071.0	4.0

12070.9993799	0.000523190345258	9.70893599723e-05	12071.0000002	5.0

12070.9992678	0.000616671920826	0.000115519452755	12071.0	5.0

12070.9987855	0.00101904738041	0.000195829582871	12071.0000004	6.0

12070.99862	0.00115586900688	0.000224114113018	12071.0	6.0

12070.997716	0.00191006788921	0.000374644703494	12071.0000008	7.0

12070.9974698	0.002112317996	0.000417842967867	12071.0	7.0

12070.9958179	0.00349059491302	0.000692933364234	12071.0000014	8.0

12070.9954477	0.00379324731036	0.000759118026228	12071.0	8.0

12070.9924811	0.00626832136885	0.00125311837991	12071.0000025	9.0

12070.9919165	0.00672807010049	0.00135543217728	12071.0	9.0

12070.9866547	0.0111180981601	0.00223163885549	12071.0000044	10.0

12070.9857785	0.0118294960662	0.00239202119091	12071.0000001	10.0

12070.976527	0.0195481682305	0.00393259392833	12071.0000078	11.0

12070.975137	0.0206743241791	0.00418879613462	12071.0000001	11.0

12070.9589682	0.0341641678096	0.00688124295839	12071.0000136	12.0

12070.9567019	0.0359976525372	0.00730058550498	12071.0000002	12.0

12070.9285493	0.05948578361	0.0119886084827	12071.0000237	13.0

12070.9247296	0.0625745792668	0.0126960941495	12071.0000003	13.0

12070.8757922	0.103403692057	0.0208452577201	12071.0000411	14.0

12070.8690955	0.108821775336	0.0220833057451	12071.0000005	14.0

12070.7839903	0.179825944535	0.0362552721262	12071.0000715	15.0

12070.7717117	0.189774141579	0.0385151165502	12071.000001	15.0

12070.623299	0.313596235857	0.0632295101573	12071.0001248	16.0

12070.59968	0.332772939799	0.0675487401977	12071.0000017	16.0

12070.3394416	0.54989145692	0.110885704212	12071.0002187	17.0

12070.2917819	0.588683584371	0.119537419482	12071.0000029	17.0

12069.8314338	0.97275223886	0.196200811764	12071.0003868	18.0

12069.7309336	1.0547568926	0.214314745673	12071.0000053	18.0

12068.9061835	1.74283759632	0.351671656094	12071.0006928	19.0

12068.6863223	1.9226156974	0.391071623504	12071.0000096	19.0

12067.1831863	3.17663758729	0.641437877076	12071.0012617	20.0

12066.6895705	3.58080527905	0.729642152679	12071.0000179	20.0

12063.8908225	5.91561332183	1.1959102053	12071.0023461	21.0

