S	I	R	Total	Time

12090.0	0.0	0.0	12090.0	0.0

12090.0	0.0	0.0	12090.0	1.0

12090.0	0.0	0.0	12090.0	1.0

12090.0	0.0	0.0	12090.0	2.0

12089.9964303	0.00316549566561	0.000404266367691	12090.0	2.0

12089.9939494	0.00523591220208	0.000816726779489	12090.0000021	3.0

12089.9830381	0.014664026588	0.00229798218056	12090.0000001	3.0

12089.9715459	0.0242551236062	0.00420868698605	12090.0000097	4.0

12089.9469112	0.0452117702065	0.00787729937054	12090.0000002	4.0

12089.9114788	0.0747826316519	0.0137683309824	12090.0000298	5.0

12089.8624198	0.116122232072	0.0214585603925	12090.0000006	5.0

12089.7714162	0.192071189535	0.0365890859748	12090.0000765	6.0

12089.6801646	0.268512908784	0.0513238212288	12090.0000013	6.0

12089.4697398	0.444126704419	0.0863103790275	12090.0001769	7.0

12089.307057	0.579897557336	0.113048325855	12090.0000029	7.0

12088.8526343	0.95914108367	0.188606598468	12090.000382	8.0

12088.5707921	1.19377599477	0.235437852526	12090.000006	8.0

12087.6354159	1.97439178131	0.390978218179	12090.0007859	9.0

12087.1570856	2.37189817128	0.471028080719	12090.0000119	9.0

12085.2989703	3.92253432577	0.780054933381	12090.0015596	10.0

12084.4997945	4.58573049838	0.914497959851	12090.0000229	10.0

12080.9087415	7.58236138927	1.51190582922	12090.0030087	11.0

12079.5902976	8.6750392111	1.73470648079	12090.0000433	11.0

12072.8016546	14.339344872	2.86466914929	12090.0056686	12.0

12070.6499973	16.1200866463	3.22999600528	12090.00008	12.0

12058.0511937	26.6301665322	5.32909552469	12090.0104558	13.0

12054.5738108	29.5034317151	5.92290245529	12090.000145	13.0

12031.5675528	48.6886141175	9.76271467344	12090.0188816	14.0

12025.997672	53.2816260118	10.7209592812	12090.0002573	14.0

11984.6174247	87.7668733301	17.6489889382	12090.033287	15.0

11975.7698145	95.0440638544	19.1865665329	12090.0004449	15.0

11902.4791935	156.053055124	31.5246157403	12090.0568643	16.0

11888.5488454	167.471735558	33.9801604023	12090.0007414	16.0

11760.9967855	273.437044972	55.6588497345	12090.0926802	17.0

11739.3593785	291.086979685	59.5548061407	12090.0011643	17.0

11522.3160379	470.769492183	97.0540704954	12090.1396006	18.0

