S	I	R	Total	Time

11966.9353782	10.0503357368	0.0143576224811	11977.0000716	0.0

11958.5240649	16.6014720108	1.88383302841	11977.0093699	1.0

11944.6469357	27.406729798	4.97097609956	11977.0246416	2.0

11921.7838232	45.2008658724	10.0649255715	11977.0496146	3.0

11884.2015533	74.4291955731	18.4594095595	11977.0901585	4.0

11822.654369	122.237068642	32.2637575535	11977.1551952	5.0

11722.474408	199.896975719	54.8860614233	11977.2574452	6.0

11561.0207028	324.64068951	91.7514438973	11977.4128362	7.0

11304.922225	521.425830091	151.287522848	11977.635578	8.0

10908.749842	823.098710741	246.074433667	11977.9229864	9.0

10318.9495507	1265.5627665	393.710641826	11978.222959	10.0

9488.89319658	1873.15871166	616.336277842	11978.3881861	11.0

8407.79399201	2633.13067165	937.234150704	11978.1588144	12.0

7131.38559566	3472.20293624	1373.6636254	11977.2521573	13.0

5784.05417484	4263.32769601	1928.18226777	11975.5641386	14.0

4513.9851231	4875.18455727	2584.12758936	11973.2972697	15.0

3430.92011974	5230.48219779	3309.438712	11970.8410295	16.0

2576.24763326	5325.87320454	4066.41236791	11968.5332057	17.0

1936.0145155	5209.53088862	4820.99402119	11966.5394253	18.0

1470.26616196	4946.98784364	5547.62864177	11964.8826474	19.0

1135.44350037	4598.1764926	6229.89848033	11963.5184733	20.0

1170.3042171	4579.27789923	6227.40548289	11976.9875992	20.0

922.898026701	4198.53424931	6854.42313707	11975.8554131	21.0

743.27191271	3805.75373041	7425.87926394	11974.9049071	22.0

611.375381252	3421.09603791	7941.6258784	11974.0972976	23.0

513.204195086	3056.43879863	8403.76121551	11973.4042092	24.0

439.077285898	2718.07787929	8815.64981618	11972.8049814	25.0

382.299998619	2408.70796116	9181.27629458	11972.2842544	26.0

338.212363841	2128.78245323	9504.8354188	11971.8302359	27.0

303.537599686	1877.41449102	9790.48146945	11971.4335602	28.0

275.943469852	1652.96111269	10042.1819806	11971.0865631	29.0

253.748202914	1453.39598386	10263.6386372	11970.782824	30.0

235.722768682	1276.54339432	10458.2507079	11970.5168709	31.0

220.957007575	1120.22204491	10629.1049333	11970.2839858	32.0

208.768137277	982.330488684	10778.9814432	11970.0800691	33.0

198.637547839	860.8950214	10910.3689726	11969.9015419	34.0

190.166638726	754.09357205	11025.4850595	11969.7452703	35.0

183.045599884	660.264429694	11126.2984767	11969.6085063	36.0

177.031085199	577.905574433	11214.5521783	11969.4888379	37.0

171.930061879	505.668377667	11291.7857085	11969.384148	38.0

167.587996406	442.348124113	11359.3564575	11969.292578	39.0

163.880118672	386.872943988	11418.4594342	11969.2124968	40.0

190.472708592	389.125176179	11397.4013689	11976.9992536	40.0

186.758428895	340.7460701	11449.424909	11976.929408	41.0

183.56579943	298.326281138	11494.9761764	11976.8682569	42.0

180.815710825	261.145525427	11534.8534896	11976.8147258	43.0

178.442392082	228.56707366	11569.7584054	11976.7678711	44.0

176.390865805	200.028983815	11600.3070152	11976.7268648	45.0

174.614951099	175.035993566	11627.0400359	11976.6909805	46.0

173.075683648	153.1521055	11650.4317922	11976.6595813	47.0

171.740056159	133.993862671	11670.89819	11976.6321088	48.0

170.580006797	117.224289661	11688.8037771	11976.6080735	49.0

169.571601063	102.54746111	11704.4679846	11976.5870467	50.0

168.694365709	89.7036525799	11718.1706346	11976.5686529	51.0

167.930742999	78.4650255553	11730.1567944	11976.552563	52.0

167.265640935	68.6317981051	11740.6410501	11976.5384891	53.0

166.686060497	60.028854078	11749.8112645	11976.526179	54.0

166.180785119	52.5027461538	11757.8318808	11976.5154121	55.0

165.740120754	45.9190510884	11764.8468232	11976.5059951	56.0

165.355677337	40.1600387924	11770.9820429	11976.497759	57.0

165.020184291	35.1226202568	11776.3477513	11976.4905558	58.0

164.727334196	30.7165426486	11781.0403794	11976.4842562	59.0

164.47164987	26.8628030646	11785.144294	11976.4787469	60.0

175.83074539	29.6991344652	11771.4700634	11976.9999433	60.0

175.566783149	25.9886328731	11775.4392226	11976.9946386	61.0

175.336126245	22.7414043799	11778.912466	11976.9899967	62.0

175.134539414	19.8996786496	11781.9517167	11976.9859347	63.0

174.958333677	17.412872481	11784.6111742	11976.9823804	64.0

174.804294087	15.2366996523	11786.9382765	11976.9792702	65.0

174.669617441	13.3323900663	11788.9745412	11976.9765487	66.0

174.551858495	11.6660050039	11790.7563039	11976.9741674	67.0

174.448883446	10.2078368284	11792.3153634	11976.9720837	68.0

174.358829652	8.93188285698	11793.6795479	11976.9702604	69.0

174.280070694	7.81538433563	11794.87321	11976.9686651	70.0

174.21118606	6.8384225371	11795.9176605	11976.9672691	71.0

174.150934801	5.98356496273	11796.8315479	11976.9660477	72.0

174.098232617	5.23555547636	11797.6311909	11976.964979	73.0

174.05213192	4.58104294907	11798.3308689	11976.9640438	74.0

174.011804477	4.00834365417	11798.9430774	11976.9632256	75.0

173.976526277	3.50723323436	11799.4787501	11976.9625096	76.0

173.945664344	3.0687645754	11799.9474543	11976.9618832	77.0

173.918665234	2.68510837172	11800.3575615	11976.9613351	78.0

173.895045003	2.34941356532	11800.7163969	11976.9608555	79.0

173.87438044	2.05568518744	11801.0303702	11976.9604358	80.0

180.077195541	3.33759271747	11793.5852054	11976.9999936	80.0

180.046791518	2.92129578662	11794.0313116	11976.9993989	81.0

180.020184015	2.55691951345	11794.4217748	11976.9988783	82.0

179.996898539	2.23798926086	11794.7635349	11976.9984227	83.0

179.976519998	1.95883757992	11795.0626663	11976.9980238	84.0

179.958685242	1.71450362874	11795.3244859	11976.9976748	85.0

179.943076548	1.50064511267	11795.5536476	11976.9973693	86.0

179.92941592	1.31346118972	11795.7542247	11976.9971018	87.0

179.917460115	1.14962497802	11795.9297827	11976.9968678	88.0

179.906996288	1.00622447092	11796.0834422	11976.9966629	89.0

179.897838187	0.880710813765	11796.2179346	11976.9964836	90.0

179.889822827	0.770853025872	11796.3356508	11976.9963267	91.0

179.882807579	0.674698365522	11796.4386834	11976.9961893	92.0

179.876667625	0.590537635064	11796.5288638	11976.9960691	93.0

179.871293731	0.516874810913	11796.6077953	11976.9959638	94.0

179.866590301	0.452400459617	11796.676881	11976.9958717	95.0

179.862473673	0.395968468265	11796.737349	11976.9957911	96.0

179.858870627	0.346575676204	11796.7902742	11976.9957205	97.0

179.855717081	0.303344046479	11796.8365977	11976.9956588	98.0

179.852956953	0.265505060429	11796.8771427	11976.9956047	99.0

179.850541156	0.2323860583	11796.9126302	11976.9955574	100.0

