S	I	R	Total	Time

12405.0	0.0	0.0	12405.0	0.0

12405.0	0.0	0.0	12405.0	1.0

12404.9999991	7.94188937337e-07	9.07476895058e-08	12405.0	1.0

12404.9999984	1.34338844775e-06	2.40403529431e-07	12405.0	2.0

12404.9999969	2.6674895626e-06	4.82517627165e-07	12405.0	2.0

12404.9999945	4.51211858266e-06	9.85175586981e-07	12405.0	3.0

12404.9999918	6.71776270305e-06	1.47942850417e-06	12405.0	3.0

12404.9999859	1.13632466797e-05	2.74531420494e-06	12405.0	4.0

12404.9999813	1.50359692628e-05	3.65934336196e-06	12405.0	4.0

12404.9999681	2.54336801146e-05	6.49270013878e-06	12405.0	5.0

12404.9999603	3.15488594085e-05	8.10551037014e-06	12405.0	5.0

12404.9999326	5.33656050339e-05	1.40505328011e-05	12405.0	6.0

12404.9999196	6.35488259977e-05	1.68266907768e-05	12405.0	6.0

12404.9998638	0.000107494267697	2.88017416202e-05	12405.0000001	7.0

12404.999842	0.000124456536982	3.35151741699e-05	12405.0	7.0

12404.9997326	0.000210521028822	5.69675878159e-05	12405.0000001	8.0

12404.9996963	0.00023878732434	6.49083571594e-05	12405.0	8.0

12404.9994864	0.000403914120463	0.000109905102292	12405.0000002	9.0

12404.9994257	0.000451045261689	0.000123225216295	12405.0	9.0

12404.9990293	0.000762953172565	0.000208219545634	12405.0000004	10.0

12404.9989279	0.00084159999083	0.000230512235128	12405.0	10.0

12404.9981882	0.00142358520295	0.00038910214083	12405.0000008	11.0

12404.9980187	0.00155495275157	0.000426374267633	12405.0	11.0

12404.9966519	0.0026302371792	0.000719387343807	12405.0000015	12.0

12404.9963684	0.00284995075949	0.000781696202047	12405.0	12.0

12404.9938633	0.00482075456181	0.00131873682199	12405.0000028	13.0

12404.9933882	0.00518884622208	0.00142295512926	12405.0	13.0

12404.9888274	0.00877704596593	0.00240073374017	12405.0000052	14.0

12404.9880298	0.00939507675604	0.00257524245826	12405.0000001	14.0

12404.9797717	0.0158919701452	0.00434563667418	12405.0000094	15.0

12404.9784291	0.0169326639732	0.00463833961146	12405.0000001	15.0

12404.9635458	0.0286419381517	0.00782910439602	12405.0000169	16.0

12404.9612779	0.0304011113837	0.00832122999482	12405.0000002	16.0

12404.9345563	0.0514240225671	0.0140499644835	12405.0000303	17.0

12404.9307072	0.0544130822411	0.0148800979324	12405.0000004	17.0

12404.8828801	0.0920405005951	0.0251335967593	12405.0000542	18.0

12404.8763059	0.0971547110669	0.0265401430981	12405.0000007	18.0

12404.790911	0.164337938889	0.0448477583954	12405.0000967	19.0

12404.7795852	0.17317064803	0.0472454184676	12405.0000013	19.0

12404.6273777	0.292917472327	0.0798771930617	12405.0001723	20.0

12404.6076393	0.30836496673	0.0839980424791	12405.0000023	20.0

12404.33661	0.521591778671	0.142105084777	12405.0003069	21.0

12404.3016857	0.54905227342	0.149266171395	12405.0000041	21.0

12403.8191317	0.928688323129	0.252726219645	12405.0005463	22.0

12403.7561876	0.978469290178	0.265350464604	12405.0000073	22.0

12402.8962925	1.65495695611	0.449723626053	12405.0009731	23.0

12402.7807588	1.74689396711	0.472360299497	12405.0000131	23.0

12401.245774	2.95444578538	0.801516381353	12405.0017362	24.0

12401.0321233	3.12516416558	0.842735927656	12405.0000234	24.0

12398.2867493	5.28479920992	1.43155380865	12405.0031023	25.0

12397.8986335	5.59448379756	1.50692441187	12405.0000418	25.0

12392.9862346	9.4584341096	2.56087310085	12405.0055418	26.0

12392.3088751	9.99454989777	2.69664942426	12405.0000744	26.0

12383.5398976	16.8908119764	4.57915312048	12405.0098627	27.0

12382.4007395	17.7823645032	4.81702776221	12405.0001317	27.0

12366.8210542	30.0311716014	8.16520360058	12405.0174294	28.0

12364.948947	31.4806863112	8.5705979086	12405.0002313	28.0

12337.4366097	53.09959267	14.4942863966	12405.0304888	29.0

12334.4463024	55.3861031655	15.167995381	12405.0004009	29.0

12286.2530732	93.2208394246	25.5786091675	12405.0525218	30.0

12281.7304055	96.6079533176	26.6623225375	12405.0006814	30.0

12198.3014361	161.999703557	44.7871476586	12405.0882874	31.0

12191.9662412	166.585102486	46.4497791948	12405.0011229	31.0

12049.9463918	277.592411468	77.6039103536	12405.1427136	32.0

12041.7178333	283.271497572	80.012433061	12405.001764	32.0

