S	I	R	Total	Time

2021.0	0.0	0.0	2021.0	0.0

2021.0	0.0	0.0	2021.0	1.0

2021.0	0.0	0.0	2021.0	1.0

2021.0	0.0	0.0	2021.0	2.0

2021.0	4.32471482188e-10	1.03024110161e-10	2021.0	2.0

2021.0	4.18127979482e-10	1.63765210493e-10	2021.0	3.0

2021.0	1.62835207806e-09	5.50282161147e-10	2021.0	3.0

2021.0	1.57434557497e-09	7.78986020296e-10	2021.0	4.0

2020.99999999	4.14188210881e-09	1.75841360097e-09	2021.0	4.0

2020.99999999	4.00451097642e-09	2.34014554653e-09	2021.0	5.0

2020.99999999	8.89999429781e-09	4.43683567893e-09	2021.0	5.0

2020.99999999	8.60481392741e-09	5.6868497697e-09	2021.0	6.0

2020.99999997	1.74516799645e-08	9.78359202818e-09	2021.0	6.0

2020.99999997	1.68728713514e-08	1.22346998754e-08	2021.0	7.0

2020.99999995	3.23850321512e-08	1.98123708421e-08	2021.0	7.0

2020.99999994	3.1310938678e-08	2.43608846011e-08	2021.0	8.0

2020.9999999	5.80263535018e-08	3.78991935718e-08	2021.0	8.0

2020.9999999	5.61018308618e-08	4.60490594129e-08	2021.0	9.0

2020.99999983	1.0161556735e-07	6.96980044016e-08	2021.0	9.0

2020.99999982	9.82453493683e-08	8.39700237735e-08	2021.0	10.0

2020.9999997	1.75289814942e-07	1.24677912219e-07	2021.0	10.0

2020.99999968	1.69476090709e-07	1.49297561549e-07	2021.0	11.0

2020.99999948	2.99446680949e-07	2.18712568164e-07	2021.0	11.0

2020.99999945	2.89515126016e-07	2.60770187314e-07	2021.0	12.0

2020.99999911	5.08480325492e-07	3.78460003363e-07	2021.0	12.0

2020.99999906	4.91615886481e-07	4.49876630213e-07	2021.0	13.0

2020.99999849	8.60637131043e-07	6.48810249377e-07	2021.0	13.0

2020.9999984	8.32092934357e-07	7.69687690958e-07	2021.0	14.0

2020.99999744	1.45510548219e-06	1.10563428099e-06	2021.0	14.0

2020.99999728	1.40684493701e-06	1.31000546318e-06	2021.0	15.0

2020.99999566	2.46198762495e-06	1.87779123359e-06	2021.0	15.0

2020.9999954	2.3803324688e-06	2.22358013178e-06	2021.0	16.0

2020.99999264	4.17559949827e-06	3.1855157143e-06	2021.0	16.0

2020.99999219	4.03711008131e-06	3.77198330456e-06	2021.0	17.0

2020.99998748	7.11086372267e-06	5.40824707589e-06	2021.0	17.0

2020.99998672	6.87502228729e-06	6.40697578856e-06	2021.0	18.0

2020.99997861	1.21811687501e-05	9.20639143984e-06	2021.0	18.0

2020.99997731	1.17771637689e-05	1.09172501282e-05	2021.0	19.0

2020.99996322	2.10343204649e-05	1.57441096226e-05	2021.0	19.0

2020.99996096	2.03366886835e-05	1.86984033069e-05	2021.0	20.0

2020.99993619	3.67041915572e-05	2.71062524489e-05	2021.0	20.0

2020.99993225	3.54868471838e-05	3.22613969378e-05	2021.0	21.0

2020.99988799	6.49117584072e-05	4.70990981588e-05	2021.0	21.0

2020.99988102	6.27588715924e-05	5.62160267431e-05	2021.0	22.0

2020.99980043	0.000116739164625	8.28323309696e-05	2021.0	22.0

2020.9997879	0.000112867350793	9.92284762969e-05	2020.99999999	23.0

2020.99963781	0.000214258657926	0.000147933201065	2021.0	23.0

2020.99961481	0.000207152475031	0.0001780260674	2020.99999999	24.0

2020.99932834	0.000402444335713	0.000269212734152	2021.0	24.0

2020.99928515	0.000389096709428	0.000325736487335	2020.99999998	25.0

2020.99872633	0.000773237069744	0.000500436658674	2021.0	25.0

2020.99864333	0.000747591561451	0.000609038660675	2020.99999996	26.0

2020.99754413	0.00150678400674	0.000949082914303	2021.0	26.0

2020.99738241	0.00145680927374	0.00116071238831	2020.99999993	27.0

