S	I	R	Total	Time

2874.0	0.0	0.0	2874.0	0.0

2874.0	0.0	0.0	2874.0	1.0

2874.0	0.0	0.0	2874.0	2.0

2874.0	0.0	0.0	2874.0	3.0

2874.0	0.0	0.0	2874.0	4.0

2873.77144533	0.183027163106	0.0455275438679	2874.00000003	4.0

2873.74286865	0.185296927518	0.0718376991276	2874.00000327	5.0

2873.71393789	0.187594548574	0.098474112144	2874.00000655	6.0

2873.68464872	0.189920360856	0.12544078653	2874.00000987	7.0

2873.65499675	0.192274702779	0.152741773972	2874.00001323	8.0

2871.9659033	1.52216269447	0.511934274102	2874.00000026	8.0

2871.72841244	1.54088042026	0.730733948489	2874.00002681	9.0

2871.48802274	1.5598081896	0.952222714957	2874.00005365	10.0

2871.24470223	1.57894784271	1.17643071245	2874.00008078	11.0

2870.99841865	1.5983012222	1.40338834299	2874.00010822	12.0

2859.78656546	10.316957438	3.89647871797	2874.00000162	12.0

2858.18464058	10.436569709	5.37895322347	2874.00016352	13.0

2856.56512603	10.5566505472	6.87854930213	2874.00032588	14.0

2854.92798245	10.6771741839	8.39533204237	2874.00048867	15.0

2853.27317498	10.7981140708	9.92936279514	2874.00065185	16.0

2787.50565448	61.5948557883	24.8994933925	2874.00000366	16.0

2778.21492995	62.053260528	33.7321578781	2874.00034836	17.0

2768.88869069	62.4836613355	42.6282975948	2874.00064962	18.0

2759.53173141	62.885317354	51.5838579197	2874.00090668	19.0

2750.14889605	63.2575406331	60.5946821782	2874.00111886	20.0

2536.69075373	211.528287578	125.780907834	2873.99994914	20.0

2507.96913056	210.123846416	155.901695422	2873.9946724	21.0

2479.7815613	208.408231462	185.799242902	2873.98903566	22.0

2452.15763502	206.395348039	215.430082696	2873.98306575	23.0

2425.12349939	204.100457149	244.752833937	2873.97679048	24.0

2104.18759558	383.672410129	386.139743637	2873.99974934	24.0

2061.66488328	372.182429976	440.127340328	2873.97465359	25.0

2021.2814942	360.229305906	492.438788544	2873.94958865	26.0

1982.98870532	347.920245455	543.015728971	2873.92467974	27.0

1946.72926901	335.356099686	591.814670262	2873.90003896	28.0

1635.65602774	458.218069693	780.12544513	2873.99954256	28.0

1596.73664519	433.426717099	843.791389153	2873.95475144	29.0

1560.8114907	409.149282551	903.95111876	2873.91189201	30.0

1527.6711506	385.512357715	960.68750218	2873.8710105	31.0

1497.11551447	362.616992918	1014.09961999	2873.83212738	32.0

1241.36908583	426.281646426	1206.34873976	2873.99947201	32.0

1214.14682163	394.844995714	1264.95670597	2873.94852332	33.0

1189.48212353	365.21495544	1319.20405091	2873.90112988	34.0

1167.12873597	337.380076421	1369.34831029	2873.85712268	35.0

1146.86408536	311.308395738	1415.64384488	2873.81632598	36.0

947.384377259	339.494060216	1587.12108548	2873.99952296	36.0

930.927167954	309.593040813	1633.43371233	2873.9539211	37.0

916.175012841	282.08791917	1675.6493378	2873.91226981	38.0

902.942136689	256.832421492	1714.09970562	2873.8742638	39.0

891.06435268	233.679676522	1749.09558518	2873.83961438	40.0

737.138747226	245.005142016	1891.85573677	2873.99962601	40.0

727.925591197	220.945949716	1925.09255497	2873.96409588	41.0

719.717893926	199.155709146	1955.05843231	2873.93203538	42.0

712.400547961	179.439295924	1982.06327673	2873.90312061	43.0

705.872589313	161.614421074	2006.39004461	2873.877055	44.0

586.821459297	165.96664675	2121.21162536	2873.99973141	44.0

581.86250594	148.475233199	2143.63658324	2873.97432238	45.0

577.462274992	132.793723028	2163.69558783	2873.95158585	46.0

573.555428755	118.74183008	2181.63398738	2873.93124621	47.0

570.084738629	106.155739387	2197.67257718	2873.9130552	48.0

477.575508005	107.904170802	2288.5201389	2873.9998177	48.0

474.955224445	95.9698322959	2303.05756758	2873.98262432	49.0

472.636989118	85.3440745528	2315.98626743	2873.9673311	50.0

470.585060474	75.8858499939	2327.4828195	2873.95372997	51.0

468.768117541	67.4687863496	2337.70473133	2873.94163522	52.0

396.61655587	68.3144091039	2409.06891583	2873.9998808	52.0

395.24039505	60.495483957	2418.25278401	2873.98866301	53.0

394.025774074	53.5677293216	2426.3852254	2873.97872879	54.0

392.953398664	47.4303928462	2433.58614039	2873.96993191	55.0

392.006350339	41.9939322458	2439.96186007	2873.96214265	56.0

335.610801822	42.5257943816	2495.86332775	2873.99992395	56.0

334.886590589	37.5351794899	2501.57100876	2873.99277884	57.0

334.248680119	33.1290207321	2506.60877129	2873.98647214	58.0

333.686671572	29.239143084	2511.05509105	2873.98090571	59.0

333.191444408	25.8052632807	2514.97928511	2873.9759928	60.0

289.073144106	26.2029226447	2558.7238855	2873.99995225	60.0

288.68909673	23.0699758628	2562.23639891	2873.9954715	61.0

288.351393805	20.3112236716	2565.32890899	2873.99152647	62.0

288.054403791	17.8820621746	2568.05158721	2873.98805317	63.0

287.793188211	15.7431840161	2570.44862303	2873.98499526	64.0

