S	I	R	Total	Time

5535.0	0.0	0.0	5535.0	0.0

5535.0	0.0	0.0	5535.0	1.0

5534.99999948	4.65702564582e-07	5.34079610936e-08	5535.0	1.0

5534.99999933	5.44277054865e-07	1.25459719717e-07	5535.0	2.0

5534.99999842	1.31661155156e-06	2.67284738888e-07	5535.0	2.0

5534.99999799	1.5387535138e-06	4.70985952762e-07	5535.0	3.0

5534.99999642	2.81954025008e-06	7.5926756523e-07	5535.0	3.0

5534.99999551	3.29526006471e-06	1.19549628493e-06	5535.0	4.0

5534.99999285	5.41937266424e-06	1.72648498961e-06	5535.0	4.0

5534.9999911	6.33374264188e-06	2.56495005446e-06	5535.0	5.0

5534.99998664	9.85697007482e-06	3.49830815804e-06	5535.0	5.0

5534.99998346	1.15200624735e-05	5.02334169301e-06	5535.0	6.0

5534.99997601	1.7365169719e-05	6.62399674879e-06	5535.0	6.0

5534.9999704	2.02950641405e-05	9.31067084362e-06	5535.0	7.0

5534.99995799	2.99948251293e-05	1.20183660631e-05	5535.0	7.0

5534.99994829	3.50556262377e-05	1.66590531922e-05	5535.00000001	8.0

5534.99992764	5.11577284438e-05	2.12040154225e-05	5535.0	8.0

5534.9999111	5.97891868514e-05	2.91189477718e-05	5535.00000001	9.0

5534.99987675	8.65320390827e-05	3.67144646207e-05	5535.0	9.0

5534.99984879	0.00010113193832	5.01023779464e-05	5535.00000002	10.0

5534.99979166	0.000145575538196	6.27659188867e-05	5535.0	10.0

5534.99974461	0.000170137401485	8.52888214253e-05	5535.00000004	11.0

5534.99964956	0.000244062732703	0.000106378689579	5535.0	11.0

5534.99957068	0.000285241595552	0.00014413916216	5535.00000006	12.0

5534.99941239	0.000408358192403	0.000179254204803	5535.0	12.0

5534.99928041	0.000477257381389	0.000242433855572	5535.0000001	13.0

5534.99901641	0.000682663224381	0.000300928896925	5535.0	13.0

5534.99879577	0.00079784380766	0.000406547994078	5535.00000017	14.0

5534.99835447	0.00114142760599	0.000504103889347	5535.0	14.0

5534.99798556	0.00133401196773	0.000680701289809	5535.00000028	15.0

5534.99724536	0.00191091821664	0.000843727556825	5535.0	15.0

5534.99662775	0.00223333270345	0.00113937765023	5535.00000046	16.0

5534.99537986	0.00320748495148	0.00141266562753	5535.00000001	16.0

5534.99434321	0.00374865872096	0.0019089156314	5535.00000078	17.0

5534.99222337	0.00540742126348	0.0023692232222	5535.00000001	17.0

5534.9904757	0.00631977183114	0.00320583901599	5535.00000132	18.0

5534.98683394	0.00917937016135	0.00398670961116	5535.00000002	18.0

5534.9838672	0.0107281277736	0.00540690686182	5535.00000223	19.0

5534.97750747	0.0157468190829	0.00674574555563	5535.00000004	19.0

5534.97241816	0.0184036366026	0.00918203285106	5535.00000383	20.0

5534.96105306	0.0274335450034	0.0115134561293	5535.00000006	20.0

5534.95218668	0.0320621258056	0.0157578666201	5535.00000667	21.0

5534.9312548	0.0488381071847	0.0199072056344	5535.00000011	21.0

5534.91547068	0.0570779581503	0.0274632392673	5535.00001188	22.0

5534.87559428	0.0893472957159	0.0350586185668	5535.0000002	22.0

5534.84671827	0.104421412382	0.0488820461966	5535.00002173	23.0

5534.7689085	0.167885666408	0.0632062098666	5535.00000037	23.0

5534.71465113	0.196209024827	0.0891806714501	5535.00004083	24.0

5534.56499469	0.318358021548	0.116647998345	5535.00000071	24.0

5534.46211246	0.372062433751	0.165902515224	5535.00007741	25.0

5534.19573755	0.5867246592	0.217539092201	5535.0000013	25.0

5534.00614476	0.68568511462	0.308312738469	5535.00014261	26.0

5533.58032512	1.02004847898	0.399628672196	5535.00000227	26.0

5533.25075586	1.19205191563	0.557440018769	5535.00024779	27.0

5532.61324056	1.67882390598	0.707939262728	5535.00000373	27.0

5532.07094691	1.96179853842	0.967662001455	5535.00040745	28.0

5531.1291546	2.66703299726	1.20381832055	5535.00000592	28.0

5530.26794283	3.11629975631	1.61640379764	5535.00064638	29.0

